,zipcode,num_solar,num_gas,num_oil,num_hydro,num_wind,num_coal,num_biomass,num_storage,num_cogeneration,num_geothermal,num_petcoke,num_nuclear,num_other
0,90744,3,3,0,0,0,0,0,0,0,0,0,0,0
1,90021,1,0,0,0,0,0,0,0,0,0,0,0,0
2,90808,1,1,0,0,0,0,0,0,0,0,0,0,0
3,90277,0,1,0,0,0,0,0,0,0,0,0,0,0
4,91405,0,1,0,0,0,0,0,0,0,0,0,0,0
5,91403,0,1,0,0,0,0,0,0,0,0,0,0,0
6,93535,17,0,0,0,0,0,0,0,0,0,0,0,0
7,91411,1,0,0,0,0,0,0,0,0,0,0,0,0
8,93536,16,0,0,0,1,0,0,0,0,0,0,0,0
9,91383,0,0,0,0,0,0,0,0,0,0,0,0,0
10,91702,0,0,0,1,0,0,0,0,0,0,0,0,0
11,90081,0,1,0,0,0,0,0,0,0,0,0,0,0
12,91321,0,2,0,0,0,0,0,0,0,0,0,0,0
13,90639,0,1,0,0,0,0,0,0,0,0,0,0,0
14,93591,5,0,0,0,0,0,0,0,0,0,0,0,0
15,90670,5,0,0,0,0,0,0,0,0,0,0,0,0
16,90638,4,0,0,0,0,0,0,0,0,0,0,0,0
17,91604,0,1,0,0,0,0,0,0,0,0,0,0,0
18,90046,1,0,0,0,0,0,0,0,0,0,0,0,0
19,91340,1,0,0,0,0,0,0,0,0,0,0,0,0
20,90840,0,0,0,0,0,0,0,1,0,0,0,0,0
21,91301,0,0,0,0,0,0,0,0,0,0,0,0,0
22,91125,0,1,0,0,0,0,1,0,0,0,0,0,0
23,90220,0,1,0,0,0,0,0,0,0,0,0,0,0
24,91350,1,0,0,0,0,0,0,0,0,0,0,0,0
25,90650,0,1,0,0,0,0,0,0,0,0,0,0,0
26,90009,0,1,0,0,0,0,0,0,0,0,0,0,0
27,90012,0,1,0,0,0,0,0,0,0,0,0,0,0
28,90077,0,1,0,0,0,0,0,0,0,0,0,0,0
29,90810,0,3,0,0,0,0,0,0,2,0,0,0,0
30,90242,1,0,0,0,0,0,0,1,0,0,0,0,0
31,91754,1,0,0,0,0,0,0,0,0,0,0,0,0
32,91311,0,0,0,1,0,0,0,0,0,0,0,0,0
33,90266,0,1,0,0,0,0,0,0,0,0,0,0,0
34,90296,0,1,0,0,0,0,0,0,0,0,0,0,0
35,90245,0,3,0,0,0,0,1,0,0,0,0,0,0
36,91342,1,1,0,1,0,0,0,0,0,0,0,0,0
37,90032,1,0,0,0,0,0,0,0,0,0,0,0,0
38,90502,1,0,0,0,0,0,0,0,0,0,0,0,0
39,90210,0,0,0,1,0,0,0,0,0,0,0,0,0
40,91105,0,1,0,0,0,0,0,0,0,0,0,0,0
41,91201,0,1,0,0,0,0,0,1,0,0,0,0,0
42,91352,1,1,0,1,0,0,0,0,0,0,0,0,0
43,90058,0,2,1,0,0,0,0,0,0,0,0,0,0
44,90831,0,2,0,0,0,0,0,0,0,0,0,0,0
45,90740,0,1,0,0,0,0,0,0,0,0,0,0,0
46,90501,0,2,0,0,0,0,0,0,0,0,0,0,0
47,91789,1,0,0,0,0,0,0,0,0,0,0,0,0
48,90710,0,1,0,0,0,0,0,0,0,0,0,0,0
49,91502,0,3,0,0,0,0,0,0,0,0,0,0,0
50,93539,1,0,0,0,0,0,0,0,0,0,0,0,0
51,91302,1,0,0,0,0,0,0,0,0,0,0,0,0
52,90802,0,1,0,0,0,0,0,1,0,0,0,0,0
53,91792,0,0,0,0,0,0,0,0,0,0,0,0,0
54,90086,1,0,0,0,0,0,0,0,0,0,0,0,0
55,91706,0,1,0,0,0,0,0,0,0,0,0,0,0
56,91324,1,0,0,0,0,0,0,0,0,0,0,0,0
57,91605,0,0,0,1,0,0,0,0,0,0,0,0,0
58,90041,1,0,0,0,0,0,0,0,0,0,0,0,0
59,90731,5,0,0,0,0,0,1,0,0,0,0,0,0
60,90723,0,1,0,0,0,0,0,0,0,0,0,0,0
61,90704,0,0,1,0,0,0,0,0,0,0,0,0,0
62,91371,1,0,0,0,0,0,0,0,0,0,0,0,0
63,90601,0,0,0,0,0,0,0,0,0,0,0,0,0
64,91803,0,1,0,0,0,0,0,0,0,0,0,0,0
65,90640,0,0,0,1,0,0,0,0,0,0,0,0,0
66,93534,2,0,0,0,0,0,0,0,0,0,0,0,0
67,90404,0,1,0,0,0,0,0,0,0,0,0,0,0
68,91773,0,0,0,2,0,0,0,0,0,0,0,0,0
69,91312,0,0,0,1,0,0,0,0,0,0,0,0,0
70,90049,0,0,0,1,0,0,0,0,0,0,0,0,0
71,80755,0,1,0,0,0,0,0,0,0,0,0,0,0
72,93553,1,0,0,0,0,0,0,0,0,0,0,0,0
73,91326,0,0,0,0,0,0,0,0,0,0,0,0,0
74,90813,0,0,0,0,0,0,0,0,1,0,0,0,0
75,90504,0,0,0,0,0,0,0,0,1,0,0,0,0
76,90095,0,1,0,0,0,0,0,0,0,0,0,0,0
77,90052,1,0,0,0,0,0,0,0,0,0,0,0,0
78,91343,1,0,0,0,0,0,0,0,0,0,0,0,0
79,91766,0,0,0,0,0,0,0,1,0,0,0,0,0
80,90230,0,0,0,1,0,0,0,0,0,0,0,0,0
81,91745,0,1,0,0,0,0,0,0,0,0,0,0,0
82,90732,3,0,0,0,0,0,0,0,0,0,0,0,0
83,91750,1,0,0,0,0,0,0,0,0,0,0,0,0
84,90602,0,0,0,0,0,0,0,0,0,0,0,0,0
